id,Title,Authors,Keywords,Published Year,Journal,DOI,States,Cities,Geography Keywords,Citation
202,"Assessment of a Crisis Standards of Care Scoring System for Resource Prioritization and Estimated Excess Mortality by Race, Ethnicity, and Socially Vulnerable Area During a Regional Surge in COVID-19","Riviello, E. D.; Dechen, T.; O'Donoghue, A. L.; Cocchi, M. N.; Hayes, M. M.; Molina, R. L.; Moraco, N. H.; Mosenthal, A.; Rosenblatt, M.; Talmor, N.; Walsh, D. P.; Sontag, D. N.; Stevens, J. P.",Aged; Boston; COVID-19[Diagnosis]; COVID-19[Mortality]; COVID-19[Therapy]; Critical Care; Ethnicity[Statistics & Numerical Data]; Female; Health Care Rationing[Statistics & Numerical Data]; Health Priorities; Healthcare Disparities; Hospitalization; Humans; Male; Middle Aged; Organ Dysfunction Scores; Racial Groups[Statistics & Numerical Data]; Residence Characteristics[Statistics & Numerical Data]; Retrospective Studies; Severity of Illness Index; Standard of Care; Vulnerable Populations[Statistics & Numerical Data],2022,JAMA Network Open,10.1001/jamanetworkopen.2022.1744,Massachusetts,Boston,Neighborhood,"Riviello, E. D., Dechen, T., O’Donoghue, A. L., Cocchi, M. N., Hayes, M. M., Molina, R. L., Moraco, N. H., Mosenthal, A., Rosenblatt, M., Talmor, N., Walsh, D. P., Sontag, D. N., & Stevens, J. P. (2022). Assessment of a Crisis Standards of Care Scoring System for Resource Prioritization and Estimated Excess Mortality by Race, Ethnicity, and Socially Vulnerable Area During a Regional Surge in COVID-19. JAMA Network Open, 5(3), e221744. https://doi.org/10.1001/jamanetworkopen.2022.1744"
433,Turning the Hospital Inside Out: Expanding Access to COVID-19 Vaccinations for Underserved Adolescents Using Mobile Outreach,"Gupta, P. S.",acceleration; adolescent; adult; city; conference abstract; controlled study; coronavirus disease 2 19; demography; ethnicity; female; field hospital; foot; general hospital; Hispanic; human; insurance; juvenile; male; mass medium; Massachusetts; medically underserved; public health; race; salary; seashore; Social Vulnerability Index; sport; stakeholder engagement; vaccination; young adult; vaccine,2022,Journal of Adolescent Health,10.1016/j.jadohealth.2022.01.066,Massachusetts,Boston,Tract State Community,"Gupta, P. S. (2022). 149. Turning the Hospital Inside Out: Expanding Access to COVID-19 Vaccinations for Underserved Adolescents Using Mobile Outreach. Journal of Adolescent Health, 70(4), S78–S79. https://doi.org/10.1016/j.jadohealth.2022.01.066"
348,Multicenter analysis of attrition from the pediatric tuberculosis infection care cascade in Boston,"Campbell, J. I.; Tabatneck, M.; Sun, M.; He, W.; Musinguzi, N.; Hedt-Gauthier, B.; Lamb, G. S.; Domond, K.; Goldmann, D.; Sabharwal, V.; Sandora, T. J.; Haberer, J. E.",NA,2022,Journal of Pediatrics,10.1016/j.jpeds.2022.09.038,NA,Boston,Tract,"Campbell, J. I., Tabatneck, M., Sun, M., He, W., Musinguzi, N., Hedt-Gauthier, B., Lamb, G. S., Domond, K., Goldmann, D., Sabharwal, V., Sandora, T. J., & Haberer, J. E. (2023). Multicenter Analysis of Attrition from the Pediatric Tuberculosis Infection Care Cascade in Boston. The Journal of Pediatrics, 253, 181-188.e5. https://doi.org/10.1016/j.jpeds.2022.09.038"
443,"Preferred Language Mediates Association Between Race, Ethnicity and Delayed Presentation to Care in Critically Ill Patients with COVID-19","Kelly, M.; Mohammed, A.; Okin, D.; Alba, G. A.; Jesudasen, S. J.; Dandawate, N. A.; Gavralidis, A.; Chang, L. L.; Moin, E. E.; Witkin, A. S.; Hibbert, K. A.; Kadar, A.; Gordan, P. L.; Bebell, L. M.; Lai, P. S.",adult; body mass; Charlson Comorbidity Index; cohort analysis; communication barrier; conference abstract; controlled study; coronavirus disease 2 19; critically ill patient; demographics; electronic medical record; ethnicity; female; gender; health disparity; hospital admission; human; insurance; intensive care unit; male; Massachusetts; mediation analysis; medically uninsured; multicenter study; neighborhood characteristic; race; retrospective study; social aspect; Social Vulnerability Index; speech,2022,"American Journal of Respiratory and Critical Care Medicine. Conference: International Conferenceof the American Thoracic Society, ATS",10.1164/ajrccm-conference.2022.205.1_MeetingAbstracts.A3694,NA,Boston,Tract Neighborhood,"Kelly, M., Mohammed, A., Okin, D., Alba, G. A., Jesudasen, S. J., Dandawate, N. A., Gavralidis, A., Chang, L. L., Moin, E. E., Witkin, A. S., Hibbert, K. A., Kadar, A., Gordan, P. L., Bebell, L. M., & Lai, P. S. (2022). Preferred Language Mediates Association Between Race, Ethnicity and Delayed Presentation to Care in Critically Ill Patients with COVID-19. C14. BURNOUT, DISPARITIES, AND OUTCOMES OF THE COVID-19 PANDEMIC. https://doi.org/10.1164/ajrccm-conference.2022.205.1_meetingabstracts.a3694"
507,"A Spatiotemporal Analysis of Heroin-Related Calls for Emergency Medical Services and Community-Health Centers in Boston, Massachusetts","Barboza, G. E.",Community health care centers; Heroin related injury; Physical and social vulnerability; Spatio-temporal analysis,2020,Applied Spatial Analysis and Policy,10.1007/s12061-019-09315-5,NA,Boston,Tract Urban Neighborhood Community,"Barboza, G. E. (2019). A Spatiotemporal Analysis of Heroin-Related Calls for Emergency Medical Services and Community-Health Centers in Boston, Massachusetts. Applied Spatial Analysis and Policy, 13(2), 507–525. https://doi.org/10.1007/s12061-019-09315-5"
18,Social determinants of health in total knee arthroplasty : are social factors associated with increased 30-day post-discharge cost of care and length of stay?,"Delanois, R. E.; Tarazi, J. M.; Wilkie, W. A.; Remily, E.; Salem, H. S.; Mohamed, N. S.; Pollack, A. N.; Mont, M. A.","Adult; Aged; Aged, 8  and over; Arthroplasty, Replacement, Knee[Economics]; Female; Health Care Costs; Humans; Length of Stay[Statistics & Numerical Data]; Male; Middle Aged; Risk Factors; Social Determinants of Health; United States",2021,Bone & Joint Journal,10.1302/0301-620X.103B6.BJJ-2020-2430.R1,NA,Chesapeake,Rural Urban,"Delanois, R. E., Tarazi, J. M., Wilkie, W. A., Remily, E., Salem, H. S., Mohamed, N. S., Pollack, A. N., & Mont, M. A. (2021). Social determinants of health in total knee arthroplasty. The Bone &amp; Joint Journal, 103-B(6 Supple A), 113–118. https://doi.org/10.1302/0301-620x.103b6.bjj-2020-2430.r1"
142,Impact of the COVID-19 pandemic on cardiovascular disease mortality in a major metropolitan area,"Kim, Y. J.; Kim, S.; An, J.; Volgman, A. S.; Nazir, N. T.",NA,2022,American Heart Journal Plus Cardiology Research And Practice,10.1016/j.ahjo.2022.100173,Illinois,Chicago,County Community,"Kim, Y. J., Kim, S., An, J., Volgman, A. S., & Nazir, N. T. (2022). Impact of the COVID-19 pandemic on cardiovascular disease mortality in a major metropolitan area. American Heart Journal Plus: Cardiology Research and Practice, 18, 100173. https://doi.org/10.1016/j.ahjo.2022.100173"
300,Evaluating the Relationship between Social Vulnerability and Missed Appointments for Ophthalmology Office Visits at an Urban Tertiary Care Referral Center,"Scanzera, A. C.; Kravets, S.; Kim, S. J.; Musick, H.; Chan, P.; Krishnan, J. A.",adult; ambulatory care; Black person; census tract; cohort analysis; conference abstract; controlled study; disease control; ear; ethnicity; female; health center; Hispanic; housing; human; Illinois; major clinical study; male; ophthalmology; outcome assessment; patient referral; poverty; prevention; retrospective study; social aspect; Social Vulnerability Index; tertiary health care,2022,Journal of Investigative Medicine,10.1136/jim-2022-MW.114,Illinois,Chicago,Tract Urban,"Scanzera AC, Kravets S, Hallak JA, Musick H, Krishnan JA, Chan RVP, Kim SJ. Evaluating the Relationship between Neighborhood-Level Social Vulnerability and Patient Adherence to Ophthalmology Appointments. Ophthalmic Epidemiol. 2023 Feb 23:1-10. doi: 10.1080/09286586.2023.2180806. Epub ahead of print. PMID: 36820490; PMCID: PMC10444903."
419,"Travel distance to flu and COVID-19 vaccination sites for people with disabilities and age 65 and older, Chicago metropolitan area","Guhlincozzi, A. R.; Lotfata, A.",Accessibility; COVID-19 vaccination; Elderly; People with disability; United States,2022,Journal of Health Research,10.1108/JHR-03-2021-0196,Illinois,Chicago,Tract Community,"Guhlincozzi, A. R., & Lotfata, A. (2021). Travel distance to flu and COVID-19 vaccination sites for people with disabilities and age 65 and older, Chicago metropolitan area. Journal of Health Research, 36(5), 859–866. https://doi.org/10.1108/jhr-03-2021-0196"
349,The social vulnerability metric (SVM) as a new tool for public health,"Saulsberry, L.; Bhargava, A.; Zeng, S.; Gibbons, J. B.; Brannan, C.; Lauderdale, D. S.; Gibbons, R. D.",NA,2022,Health Services Research,10.1111/1475-6773.14102,California,Chicago,Tract County State,"Saulsberry, L., Bhargava, A., Zeng, S., Gibbons, J. B., Brannan, C., Lauderdale, D. S., & Gibbons, R. D. (2022). The social vulnerability metric (<scp>SVM</scp>) as a new tool for public health. Health Services Research, 58(4), 873–881. Portico. https://doi.org/10.1111/1475-6773.14102"
141,Frailty and Social Vulnerability Index Significantly Improve Mortality Prediction of Patients with Low Meldna,"Huang, A.; Polineni, P.; Thuluvath, A.; Simpson, D.; Kershaw, K.; Mehrotra, S.; Ladner, D. P.",adult; cohort analysis; conference abstract; controlled study; demographics; ethnicity; female; follow up; frailty; gender; Hepatitis C virus; Hispanic; human; Illinois; International Classification of Diseases; liver cirrhosis; major clinical study; male; middle aged; mortality; neighborhood; nonhuman; positivity rate; prediction; race; receiver operating characteristic; retrospective study; social determinants of health; Social Vulnerability Index,2022,Hepatology,10.1002/hep.32697,NA,Chicago,Urban Neighborhood,"Abstracts. (2022). Hepatology, 76(S1), S1–S1564. https://doi.org/10.1002/hep.32697"
287,Social Vulnerability Index Predicts Violent Crime in Chicago,"Polcari, A. M.; Slidell, M. B.; Nordgren, R.; Hoefer, L. E.; Zakrison, T. L.; Benjamin, A. J.",assault; built environment; census tract; conference abstract; controlled study; crime; disability; homicide; household; housing; human; Illinois; language; negative binomial regression; social aspect; social status; Social Vulnerability Index; trauma surgeon; violence,2022,Journal of the American College of Surgeons,10.1097/01.XCS.0000895336.61680.d6,NA,Chicago,Tract Community,"Polcari, A. M., Slidell, M. B., Nordgren, R., Hoefer, L. E., Zakrison, T. L., & Benjamin, A. J. (2022). Social Vulnerability Index Predicts Violent Crime in Chicago. Journal of the American College of Surgeons, 235(5), S296–S296. https://doi.org/10.1097/01.xcs.0000895336.61680.d6"
289,"Impact of COVID-19 Pandemic, Social Vulnerability, and Opioid Overdoses in Chicago","Knoebel, R. W.; Kim, S. J.",NA,2023,AJPM Focus,10.1016/j.focus.2023.100086,NA,Chicago,Neighborhood Community,"Knoebel, R. W., & Kim, S. J. (2023). Impact of COVID-19 Pandemic, Social Vulnerability, and Opioid Overdoses in Chicago. AJPM Focus, 2(2), 100086. https://doi.org/10.1016/j.focus.2023.100086"
290,Associations of Social Determinants of Health With Pulmonary Hypertension Severity and Reported Quality of Life,"Aronson, B.; Humpal, C.; Anguiano, R. H.; Fraidenburg, D. R.",adult; conference abstract; controlled study; echocardiography; exhaustion; female; heart right atrium pressure; human; Illinois; longitudinal study; major clinical study; male; medically uninsured; middle aged; perception; personal experience; pulmonary hypertension; quality of life; social determinants of health; Social Vulnerability Index; tricuspid valve,2022,Circulation. Conference: American Heart Association's,10.1161/circ.146.suppl_1.14134,NA,Chicago,Community,"Aronson, B., Humpal, C., Anguiano, R. H., & Fraidenburg, D. R. (2022). Abstract 14134: Associations of Social Determinants of Health With Pulmonary Hypertension Severity and Reported Quality of Life. Circulation, 146(Suppl_1). https://doi.org/10.1161/circ.146.suppl_1.14134"
498,Neighbourhood inequity: Exploring the factors underlying racial and ethnic disparities in COVID-19 testing and infection rates using ZIP code data in Chicago and New York,"Credit, K.","cross-sectional models; economics of minorities and races; health, education, and welfare; land use patterns; non-labor discrimination; quantile regressions; spatial models; treatment effect models",2020,Regional Science Policy and Practice,10.1111/rsp3.12321,New York,"Chicago, New York City",NA,"Credit, K. (2020). Neighbourhood inequity: Exploring the factors underlying racial and ethnic disparities in COVID‐19 testing and infection rates using ZIP code data in Chicago and New York. Regional Science Policy &amp; Practice, 12(6), 1249–1271. Portico. https://doi.org/10.1111/rsp3.12321"
374,"One regional health system, two distinct geographic patterns in locally advanced cervical cancer: Implications for informing public health efforts for intervention (369)","Smrz, S.; Gordon, J.; Schumacher, F.; Ajayakumar, J.; Miller, A.; Avril, S.; Curtis, J.",adult; advanced cancer; cancer incidence; cancer patient; catchment area; city; conference abstract; demographics; disease control; female; geographic information system; geography; human; major clinical study; medical record review; neighborhood; Ohio; outcome assessment; poverty; public health; retrospective study; risk factor; rural area; Social Vulnerability Index; urban area; uterine cervix cancer,2022,Gynecologic Oncology,10.1016/S0090-8258%2822%2901591-8,Ohio,Cleveland,Rural Urban Neighborhood,"Smrz, S., Gordon, J., Schumacher, F., Ajayakumar, J., Miller, A., Avril, S., & Curtis, J. (2022). One regional health system, two distinct geographic patterns in locally advanced cervical cancer: Implications for informing public health efforts for intervention (369). Gynecologic Oncology, 166, S189. https://doi.org/10.1016/s0090-8258(22)01591-8"
397,Socioeconomic status correlations with confirmed COVID-19 cases and SARS-CoV-2 wastewater concentrations in small-medium sized communities,"Lancaster, E.; Byrd, K.; Ai, Y.; Lee, J.",COVID-19[Epidemiology]; COVID-19; COVID-19 Testing; Humans; Pandemics; SARS-CoV-2; Social Class; Wastewater;,2022,Environmental Research,10.1016/j.envres.2022.114290,Ohio,Columbus,State Community,"Lancaster, E., Byrd, K., Ai, Y., & Lee, J. (2022). Socioeconomic status correlations with confirmed COVID-19 cases and SARS-CoV-2 wastewater concentrations in small-medium sized communities. Environmental Research, 215, 114290. https://doi.org/10.1016/j.envres.2022.114290"
138,Elevated COVID19 mortality risk in detroit area hospitals among patients from census tracts with extreme socioeconomic vulnerability,"Sandhu, A.; Korzeniewski, S. J.; Polistico, J.; Pinnamaneni, H.; Reddy, S. N.; Oudeif, A.; Meyers, J.; Sidhu, N.; Levy, P.; Samavati, L.; Badr, M. S.; Sobel, J. D.; Sherwin, R.; Chopra, T.",NA,2021,EClinicalMedicine,10.1016/j.eclinm.2021.100814,Michigan,Detroit,Tract,"Sandhu, A., Korzeniewski, S. J., Polistico, J., Pinnamaneni, H., Reddy, S. N., Oudeif, A., Meyers, J., Sidhu, N., Levy, P., Samavati, L., Badr, M. S., Sobel, J. D., Sherwin, R., & Chopra, T. (2021). Elevated COVID19 mortality risk in Detroit area hospitals among patients from census tracts with extreme socioeconomic vulnerability. EClinicalMedicine, 34, 100814. https://doi.org/10.1016/j.eclinm.2021.100814"
204,Factors Associated With Voluntary Refusal of Emergency Medical System Transport for Emergency Care in Detroit During the Early Phase of the COVID-19 Pandemic,"Harrison, N. E.; Ehrman, R. R.; Curtin, A.; Gorelick, D.; Hill, A. B.; Brennan, E.; Dunne, R.","Adult; Aged; COVID-19[Epidemiology]; COVID-19[Prevention & Control]; Communicable Disease Control[Statistics & Numerical Data]; Emergency Medical Services[Statistics & Numerical Data]; Emergency Service, Hospital[Statistics & Numerical Data]; Female; Humans; Logistic Models; Male; Michigan[Epidemiology]; Middle Aged; Odds Ratio; Patient Acceptance of Health Care[Statistics & Numerical Data]; Retrospective Studies; SARS-CoV-2; Transportation of Patients[Statistics & Numerical Data]; Treatment Refusal[Statistics & Numerical Data]",2021,JAMA Network Open,10.1001/jamanetworkopen.2021.20728,Michigan,Detroit,Tract Community,"Harrison, N. E., Ehrman, R. R., Curtin, A., Gorelick, D., Hill, A. B., Brennan, E., & Dunne, R. (2021). Factors Associated With Voluntary Refusal of Emergency Medical System Transport for Emergency Care in Detroit During the Early Phase of the COVID-19 Pandemic. JAMA Network Open, 4(8), e2120728. https://doi.org/10.1001/jamanetworkopen.2021.20728"
497,From pandemic response to portable population health: A formative evaluation of the Detroit mobile health unit program,"Levy, P.; McGlynn, E.; Hill, A. B.; Zhang, L.; Korzeniewski, S. J.; Foster, B.; Criswell, J.; O'Brien, C.; Dawood, K.; Baird, L.; Shanley, C. J.",Adult; COVID-19 Testing; Female; Geography; Health Services; Humans; Male; Michigan; Middle Aged; Mobile Health Units; Pandemics[Prevention & Control]; Pandemics; Public Health; Referral and Consultation; SARS-CoV-2[Isolation & Purification]; Social Work,2021,PLoS ONE [Electronic Resource],10.1371/journal.pone.0256908,Michigan,Detroit,State Urban Community,"Levy, P., McGlynn, E., Hill, A. B., Zhang, L., Korzeniewski, S. J., Foster, B., Criswell, J., O’Brien, C., Dawood, K., Baird, L., & Shanley, C. J. (2021). From pandemic response to portable population health: A formative evaluation of the Detroit mobile health unit program. PLOS ONE, 16(11), e0256908. https://doi.org/10.1371/journal.pone.0256908"
400,Assessment of Population-Level Disadvantage Indices to Inform Equitable Health Policy,"Kaalund, K.; Thoumi, A.; Bhavsar, N. A.; Labrador, A.; Cholera, R.",Child; Humans; COVID-19[Epidemiology]; COVID-19; Pandemics; Poverty; Social Determinants of Health; Health Policy,2022,Milbank Quarterly,10.1111/1468-0009.12588,"North Carolina, Illinois, Louisiana",Durham,Tract County State Community,"KAALUND, K., THOUMI, A., BHAVSAR, N. A., LABRADOR, A., & CHOLERA, R. (2022). Assessment of Population‐Level Disadvantage Indices to Inform Equitable Health Policy. The Milbank Quarterly, 100(4), 1028–1075. Portico. https://doi.org/10.1111/1468-0009.12588"
81,Social vulnerability and clinical trial access for older adults with myeloma in North Carolina,"Grant, S. J.; Jansen, M.; Tuchman, S.; Rubinstein, S. M.; Lichtman, E. I.; Charlot, M.",aged; cancer staging; conference abstract; controlled study; cross-sectional study; disease control; ethnic group; female; household; housing; human; incidence; language; male; myeloma; national health organization; North Carolina; phase 1 clinical trial ; phase 2 clinical trial ; phase 3 clinical trial ; preliminary data; resident; social status; Social Vulnerability Index; systematic review,2021,"Journal of Clinical Oncology. Conference: Annual Meeting of the American Society of Clinical Oncology, ASCO",10.1200/JCO.2021.39.suppl.e18540,North Carolina,Durham,County Community,NA
191,Assessing the Relationship Between Emergency Food Assistance and Social Vulnerability During the COVID-19 Pandemic,"Chakraborty, J.; Aun, J. J.; Schober, G. S.",NA,2023,Applied Spatial Analysis & Policy,10.1007/s12061-022-09478-8,Texas,El Paso,Tract County Urban Neighborhood,"Chakraborty, J., Aun, J. J., & Schober, G. S. (2022). Assessing the Relationship Between Emergency Food Assistance and Social Vulnerability During the COVID-19 Pandemic. Applied Spatial Analysis and Policy, 16(1), 259–276. https://doi.org/10.1007/s12061-022-09478-8"
